path,methods,route_name,handler_func
/api/activity-catalog,GET,list_activity_catalog,list_activity_catalog
/api/activity-catalog,POST,create_activity,create_activity
/api/activity-catalog/{item_id},DELETE,delete_activity,delete_activity
/api/activity-catalog/{item_id},PUT,update_activity,update_activity
/api/advances,GET,list_advances,list_advances
/api/advances,POST,create_advance,create_advance
/api/advances/{advance_id}/apply-deduction,POST,apply_advance_deduction,apply_advance_deduction
/api/attendance/mark,POST,mark_attendance_self,mark_attendance_self
/api/attendance/mark-for-user,POST,mark_attendance_for_user,mark_attendance_for_user
/api/attendance/missing-today,GET,get_missing_attendance_today,get_missing_attendance_today
/api/attendance/my-range,GET,get_my_attendance_range,get_my_attendance_range
/api/attendance/my-today,GET,get_my_attendance_today,get_my_attendance_today
/api/attendance/site-today,GET,get_site_attendance_today,get_site_attendance_today
/api/attendance/statuses,GET,get_attendance_statuses,get_attendance_statuses
/api/audit-logs,GET,list_audit_logs,list_audit_logs
/api/auth/login,POST,login,login
/api/auth/me,GET,get_me,get_me
/api/billing/check-module/{module_code},GET,check_module_access,check_module_access
/api/billing/config,GET,get_billing_config,get_billing_config
/api/billing/create-checkout-session,POST,create_checkout_session,create_checkout_session
/api/billing/create-portal-session,POST,create_portal_session,create_portal_session
/api/billing/plans,GET,list_billing_plans,list_billing_plans
/api/billing/signup,POST,signup_organization,signup_organization
/api/billing/subscription,GET,get_billing_subscription,get_billing_subscription
/api/billing/usage,GET,get_billing_usage,get_billing_usage
/api/billing/webhook,POST,stripe_webhook,stripe_webhook
/api/dashboard/stats,GET,get_dashboard_stats,get_dashboard_stats
/api/employees,GET,list_employees,list_employees
/api/employees,POST,upsert_employee_profile,upsert_employee_profile
/api/employees/{user_id},GET,get_employee,get_employee
/api/employees/{user_id},PUT,update_employee_profile,update_employee_profile
/api/feature-flags,GET,list_feature_flags,list_feature_flags
/api/feature-flags,PUT,toggle_feature_flag,toggle_feature_flag
/api/finance/accounts,GET,list_accounts,list_accounts
/api/finance/accounts,POST,create_account,create_account
/api/finance/accounts/{account_id},DELETE,delete_account,delete_account
/api/finance/accounts/{account_id},PUT,update_account,update_account
/api/finance/enums,GET,get_finance_enums,get_finance_enums
/api/finance/invoices,GET,list_invoices,list_invoices
/api/finance/invoices,POST,create_invoice,create_invoice
/api/finance/invoices/{invoice_id},DELETE,delete_invoice,delete_invoice
/api/finance/invoices/{invoice_id},GET,get_invoice,get_invoice
/api/finance/invoices/{invoice_id},PUT,update_invoice,update_invoice
/api/finance/invoices/{invoice_id}/cancel,POST,cancel_invoice,cancel_invoice
/api/finance/invoices/{invoice_id}/lines,PUT,update_invoice_lines,update_invoice_lines
/api/finance/invoices/{invoice_id}/send,POST,send_invoice,send_invoice
/api/finance/payments,GET,list_payments,list_payments
/api/finance/payments,POST,create_payment,create_payment
/api/finance/payments/{payment_id},DELETE,delete_payment,delete_payment
/api/finance/payments/{payment_id},GET,get_payment,get_payment
/api/finance/payments/{payment_id}/allocate,POST,allocate_payment,allocate_payment
/api/finance/stats,GET,get_finance_stats,get_finance_stats
/api/health,GET,health,health
/api/internal/run-reminder-jobs,POST,trigger_reminder_jobs,trigger_reminder_jobs
/api/media,GET,list_media,list_media
/api/media/file/{filename},GET,serve_media_file,serve_media_file
/api/media/link,POST,link_media,link_media
/api/media/upload,POST,upload_media,upload_media
/api/media/{media_id},GET,get_media,get_media
/api/mobile/bootstrap,GET,mobile_bootstrap,mobile_bootstrap
/api/mobile/settings,GET,get_mobile_settings,get_mobile_settings
/api/mobile/settings,PUT,update_mobile_settings,update_mobile_settings
/api/mobile/view-configs,GET,list_mobile_view_configs,list_mobile_view_configs
/api/mobile/view-configs,PUT,update_mobile_view_config,update_mobile_view_config
/api/mobile/view-configs/{role}/{module_code},DELETE,reset_mobile_view_config,reset_mobile_view_config
/api/modules,GET,list_modules,list_modules
/api/notifications/mark-read,POST,mark_notifications_read,mark_notifications_read
/api/notifications/my,GET,get_my_notifications,get_my_notifications
/api/offer-enums,GET,get_offer_enums,get_offer_enums
/api/offers,GET,list_offers,list_offers
/api/offers,POST,create_offer,create_offer
/api/offers/{offer_id},DELETE,delete_offer,delete_offer
/api/offers/{offer_id},GET,get_offer,get_offer
/api/offers/{offer_id},PUT,update_offer,update_offer
/api/offers/{offer_id}/accept,POST,accept_offer,accept_offer
/api/offers/{offer_id}/lines,PUT,update_offer_lines,update_offer_lines
/api/offers/{offer_id}/new-version,POST,create_offer_version,create_offer_version
/api/offers/{offer_id}/reject,POST,reject_offer,reject_offer
/api/offers/{offer_id}/send,POST,send_offer,send_offer
/api/organization,GET,get_organization,get_organization
/api/organization,PUT,update_organization,update_organization
/api/overhead/allocations,GET,list_overhead_allocations,list_overhead_allocations
/api/overhead/assets,GET,list_overhead_assets,list_overhead_assets
/api/overhead/assets,POST,create_overhead_asset,create_overhead_asset
/api/overhead/assets/{asset_id},DELETE,delete_overhead_asset,delete_overhead_asset
/api/overhead/assets/{asset_id},PUT,update_overhead_asset,update_overhead_asset
/api/overhead/categories,GET,list_overhead_categories,list_overhead_categories
/api/overhead/categories,POST,create_overhead_category,create_overhead_category
/api/overhead/categories/{cat_id},DELETE,delete_overhead_category,delete_overhead_category
/api/overhead/categories/{cat_id},PUT,update_overhead_category,update_overhead_category
/api/overhead/costs,GET,list_overhead_costs,list_overhead_costs
/api/overhead/costs,POST,create_overhead_cost,create_overhead_cost
/api/overhead/costs/{cost_id},DELETE,delete_overhead_cost,delete_overhead_cost
