method,path,function_name,file_path,tags,auth_dependency,notes
GET,/api/activity-catalog,list_activity_catalog,app/routes/offers.py,Offers / BOQ,,
POST,/api/activity-catalog,create_activity,app/routes/offers.py,Offers / BOQ,,
DELETE,/api/activity-catalog/{item_id},delete_activity,app/routes/offers.py,Offers / BOQ,,
PUT,/api/activity-catalog/{item_id},update_activity,app/routes/offers.py,Offers / BOQ,,
POST,/api/admin/set-password/{user_id},admin_set_password,app/routes/auth.py,auth,,Admin/Owner can set a new password for any user in their organization.
GET,/api/advances,list_advances,app/routes/hr.py,HR / Payroll,,
POST,/api/advances,create_advance,app/routes/hr.py,HR / Payroll,,
POST,/api/advances/{advance_id}/apply-deduction,apply_advance_deduction,app/routes/hr.py,HR / Payroll,,
POST,/api/attendance/mark,mark_attendance_self,app/routes/attendance.py,attendance,,
POST,/api/attendance/mark-for-user,mark_attendance_for_user,app/routes/attendance.py,attendance,,
GET,/api/attendance/missing-today,get_missing_attendance_today,app/routes/attendance.py,attendance,,
GET,/api/attendance/my-range,get_my_attendance_range,app/routes/attendance.py,attendance,,
GET,/api/attendance/my-today,get_my_attendance_today,app/routes/attendance.py,attendance,,
GET,/api/attendance/site-today,get_site_attendance_today,app/routes/attendance.py,attendance,,
GET,/api/attendance/statuses,get_attendance_statuses,app/routes/attendance.py,attendance,,
GET,/api/audit-logs,list_audit_logs,app/routes/auth.py,auth,,List audit logs for the organization.
POST,/api/auth/change-password,change_password,app/routes/auth.py,auth,,Change password for the currently authenticated user.
POST,/api/auth/login,login,app/routes/auth.py,auth,,
GET,/api/auth/me,get_me,app/routes/auth.py,auth,,
GET,/api/billing/check-module/{module_code},check_module_access,app/routes/billing.py,Billing,,Check if current subscription allows access to a module - SERVER-SIDE ENFORCEMENT
GET,/api/billing/config,get_billing_config,app/routes/billing.py,Billing,,Get billing system configuration - used by frontend to show correct UI.
POST,/api/billing/create-checkout-session,create_checkout_session,app/routes/billing.py,Billing,,Create Stripe checkout session for plan upgrade.
POST,/api/billing/create-portal-session,create_portal_session,app/routes/billing.py,Billing,,Create Stripe customer portal session.
GET,/api/billing/plans,list_billing_plans,app/routes/billing.py,Billing,,Public endpoint - list available plans
POST,/api/billing/signup,signup_organization,app/routes/billing.py,Billing,,Public endpoint - create new organization with owner
GET,/api/billing/subscription,get_billing_subscription,app/routes/billing.py,Billing,,Get current subscription details with plan info and trial status
GET,/api/billing/usage,get_billing_usage,app/routes/billing.py,Billing,,Get current usage vs plan limits with percentages and warnings
POST,/api/billing/webhook,stripe_webhook,app/routes/billing.py,Billing,,Handle Stripe webhook events
GET,/api/dashboard/stats,get_dashboard_stats,app/routes/overhead.py,Dashboard / Overhead,,
GET,/api/employees,list_employees,app/routes/hr.py,HR / Payroll,,
POST,/api/employees,upsert_employee_profile,app/routes/hr.py,HR / Payroll,,
GET,/api/employees/{user_id},get_employee,app/routes/hr.py,HR / Payroll,,
PUT,/api/employees/{user_id},update_employee_profile,app/routes/hr.py,HR / Payroll,,
GET,/api/feature-flags,list_feature_flags,app/routes/auth.py,auth,,
PUT,/api/feature-flags,toggle_feature_flag,app/routes/auth.py,auth,,Toggle a feature flag (module) on/off for the organization.
GET,/api/finance/accounts,list_accounts,app/routes/finance.py,Finance,,
POST,/api/finance/accounts,create_account,app/routes/finance.py,Finance,,
DELETE,/api/finance/accounts/{account_id},delete_account,app/routes/finance.py,Finance,,
PUT,/api/finance/accounts/{account_id},update_account,app/routes/finance.py,Finance,,
GET,/api/finance/enums,get_finance_enums,app/routes/finance.py,Finance,,
GET,/api/finance/invoices,list_invoices,app/routes/finance.py,Finance,,
POST,/api/finance/invoices,create_invoice,app/routes/finance.py,Finance,,
DELETE,/api/finance/invoices/{invoice_id},delete_invoice,app/routes/finance.py,Finance,,
GET,/api/finance/invoices/{invoice_id},get_invoice,app/routes/finance.py,Finance,,
PUT,/api/finance/invoices/{invoice_id},update_invoice,app/routes/finance.py,Finance,,
POST,/api/finance/invoices/{invoice_id}/cancel,cancel_invoice,app/routes/finance.py,Finance,,
PUT,/api/finance/invoices/{invoice_id}/lines,update_invoice_lines,app/routes/finance.py,Finance,,
POST,/api/finance/invoices/{invoice_id}/send,send_invoice,app/routes/finance.py,Finance,,
GET,/api/finance/payments,list_payments,app/routes/finance.py,Finance,,
POST,/api/finance/payments,create_payment,app/routes/finance.py,Finance,,
DELETE,/api/finance/payments/{payment_id},delete_payment,app/routes/finance.py,Finance,,
GET,/api/finance/payments/{payment_id},get_payment,app/routes/finance.py,Finance,,
POST,/api/finance/payments/{payment_id}/allocate,allocate_payment,app/routes/finance.py,Finance,,
GET,/api/finance/stats,get_finance_stats,app/routes/finance.py,Finance,,
GET,/api/health,health,app/routes/health.py,misc,,
POST,/api/internal/run-reminder-jobs,trigger_reminder_jobs,app/routes/attendance.py,attendance,,
GET,/api/media,list_media,app/routes/media.py,Media,,"List media files for the organization, optionally filtered by context"
GET,/api/media/file/{filename},serve_media_file,app/routes/media.py,Media,,Serve media file content
POST,/api/media/link,link_media,app/routes/media.py,Media,,Link an existing media file to a context
POST,/api/media/upload,upload_media,app/routes/media.py,Media,,Upload a media file (photo)
GET,/api/media/{media_id},get_media,app/routes/media.py,Media,,Get media file metadata
GET,/api/mobile/bootstrap,mobile_bootstrap,app/routes/mobile.py,Mobile,,Single source of truth for mobile app configuration.
GET,/api/mobile/settings,get_mobile_settings,app/routes/mobile.py,Mobile,,Get organization mobile settings (platform admin only).
PUT,/api/mobile/settings,update_mobile_settings,app/routes/mobile.py,Mobile,,Update organization mobile settings (platform admin only).
GET,/api/mobile/view-configs,list_mobile_view_configs,app/routes/mobile.py,Mobile,,List all mobile view configs for the organization (platform admin only).
PUT,/api/mobile/view-configs,update_mobile_view_config,app/routes/mobile.py,Mobile,,Update mobile view config for a specific role and module (platform admin only).
DELETE,/api/mobile/view-configs/{role}/{module_code},reset_mobile_view_config,app/routes/mobile.py,Mobile,,Reset mobile view config to defaults for a specific role and module.
GET,/api/modules,list_modules,app/routes/health.py,misc,,
POST,/api/notifications/mark-read,mark_notifications_read,app/routes/attendance.py,attendance,,
GET,/api/notifications/my,get_my_notifications,app/routes/attendance.py,attendance,,
GET,/api/offer-enums,get_offer_enums,app/routes/offers.py,Offers / BOQ,,
GET,/api/offers,list_offers,app/routes/offers.py,Offers / BOQ,,
POST,/api/offers,create_offer,app/routes/offers.py,Offers / BOQ,,
DELETE,/api/offers/{offer_id},delete_offer,app/routes/offers.py,Offers / BOQ,,
GET,/api/offers/{offer_id},get_offer,app/routes/offers.py,Offers / BOQ,,
PUT,/api/offers/{offer_id},update_offer,app/routes/offers.py,Offers / BOQ,,
POST,/api/offers/{offer_id}/accept,accept_offer,app/routes/offers.py,Offers / BOQ,,
PUT,/api/offers/{offer_id}/lines,update_offer_lines,app/routes/offers.py,Offers / BOQ,,
POST,/api/offers/{offer_id}/new-version,create_offer_version,app/routes/offers.py,Offers / BOQ,,
POST,/api/offers/{offer_id}/reject,reject_offer,app/routes/offers.py,Offers / BOQ,,
