method,path
GET,/api/activity-catalog
POST,/api/activity-catalog
DELETE,/api/activity-catalog/{item_id}
PUT,/api/activity-catalog/{item_id}
GET,/api/advances
POST,/api/advances
POST,/api/advances/{advance_id}/apply-deduction
POST,/api/attendance/mark
POST,/api/attendance/mark-for-user
GET,/api/attendance/missing-today
GET,/api/attendance/my-range
GET,/api/attendance/my-today
GET,/api/attendance/site-today
GET,/api/attendance/statuses
GET,/api/audit-logs
POST,/api/auth/change-password
POST,/api/auth/login
GET,/api/auth/me
GET,/api/billing/check-module/{module_code}
GET,/api/billing/config
POST,/api/billing/create-checkout-session
POST,/api/billing/create-portal-session
GET,/api/billing/plans
POST,/api/billing/signup
GET,/api/billing/subscription
GET,/api/billing/usage
POST,/api/billing/webhook
GET,/api/dashboard/stats
GET,/api/employees
POST,/api/employees
GET,/api/employees/{user_id}
PUT,/api/employees/{user_id}
GET,/api/feature-flags
PUT,/api/feature-flags
GET,/api/finance/accounts
POST,/api/finance/accounts
DELETE,/api/finance/accounts/{account_id}
PUT,/api/finance/accounts/{account_id}
GET,/api/finance/enums
GET,/api/finance/invoices
POST,/api/finance/invoices
DELETE,/api/finance/invoices/{invoice_id}
GET,/api/finance/invoices/{invoice_id}
PUT,/api/finance/invoices/{invoice_id}
POST,/api/finance/invoices/{invoice_id}/cancel
PUT,/api/finance/invoices/{invoice_id}/lines
POST,/api/finance/invoices/{invoice_id}/send
GET,/api/finance/payments
POST,/api/finance/payments
DELETE,/api/finance/payments/{payment_id}
GET,/api/finance/payments/{payment_id}
POST,/api/finance/payments/{payment_id}/allocate
GET,/api/finance/stats
GET,/api/health
POST,/api/internal/run-reminder-jobs
GET,/api/media
GET,/api/media/file/{filename}
POST,/api/media/link
POST,/api/media/upload
GET,/api/media/{media_id}
GET,/api/mobile/bootstrap
GET,/api/mobile/settings
PUT,/api/mobile/settings
GET,/api/mobile/view-configs
PUT,/api/mobile/view-configs
DELETE,/api/mobile/view-configs/{role}/{module_code}
GET,/api/modules
POST,/api/notifications/mark-read
GET,/api/notifications/my
GET,/api/offer-enums
GET,/api/offers
POST,/api/offers
DELETE,/api/offers/{offer_id}
GET,/api/offers/{offer_id}
PUT,/api/offers/{offer_id}
POST,/api/offers/{offer_id}/accept
PUT,/api/offers/{offer_id}/lines
POST,/api/offers/{offer_id}/new-version
POST,/api/offers/{offer_id}/reject
POST,/api/offers/{offer_id}/send
GET,/api/organization
PUT,/api/organization
GET,/api/overhead/allocations
GET,/api/overhead/assets
POST,/api/overhead/assets
DELETE,/api/overhead/assets/{asset_id}
PUT,/api/overhead/assets/{asset_id}
GET,/api/overhead/categories
POST,/api/overhead/categories
DELETE,/api/overhead/categories/{cat_id}
PUT,/api/overhead/categories/{cat_id}
GET,/api/overhead/costs
POST,/api/overhead/costs
DELETE,/api/overhead/costs/{cost_id}
PUT,/api/overhead/costs/{cost_id}
GET,/api/overhead/enums
GET,/api/overhead/snapshots
POST,/api/overhead/snapshots/compute
GET,/api/overhead/snapshots/{snapshot_id}
POST,/api/overhead/snapshots/{snapshot_id}/allocate
GET,/api/payroll-enums
GET,/api/payroll-runs
POST,/api/payroll-runs
DELETE,/api/payroll-runs/{run_id}
GET,/api/payroll-runs/{run_id}
POST,/api/payroll-runs/{run_id}/finalize
POST,/api/payroll-runs/{run_id}/generate
GET,/api/payslips
GET,/api/payslips/{payslip_id}
POST,/api/payslips/{payslip_id}/mark-paid
POST,/api/payslips/{payslip_id}/set-deductions
GET,/api/project-enums
GET,/api/projects
POST,/api/projects
DELETE,/api/projects/{project_id}
GET,/api/projects/{project_id}
PUT,/api/projects/{project_id}
GET,/api/projects/{project_id}/phases
POST,/api/projects/{project_id}/phases
DELETE,/api/projects/{project_id}/phases/{phase_id}
PUT,/api/projects/{project_id}/phases/{phase_id}
GET,/api/projects/{project_id}/team
POST,/api/projects/{project_id}/team
DELETE,/api/projects/{project_id}/team/{member_id}
POST,/api/reminders/excuse
GET,/api/reminders/logs
GET,/api/reminders/missing-attendance
GET,/api/reminders/missing-work-reports
GET,/api/reminders/policy
POST,/api/reminders/send
GET,/api/roles
GET,/api/subscription
GET,/api/users
POST,/api/users
DELETE,/api/users/{user_id}
PUT,/api/users/{user_id}
POST,/api/work-reports/draft
GET,/api/work-reports/my-range
GET,/api/work-reports/my-today
GET,/api/work-reports/project-day
GET,/api/work-reports/{report_id}
PUT,/api/work-reports/{report_id}
POST,/api/work-reports/{report_id}/approve
POST,/api/work-reports/{report_id}/reject
POST,/api/work-reports/{report_id}/submit
GET,/docs
GET,/docs/oauth2-redirect
GET,/openapi.json
GET,/redoc
